date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:06:40	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/LSG/Desktop/ether/ether/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:45	470596/470596	---M-Z	200	added ('OK')	application/javascript	etag:W/%2255003d15-72e44%22	https://code.jquery.com/ui/1.11.4/jquery-ui.js	C:/Users/LSG/Desktop/ether/ether/code.jquery.com/ui/1.11.4/jquery-ui.js	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:46	1300/1300	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-514%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	C:/Users/LSG/Desktop/ether/ether/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:47	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/Users/LSG/Desktop/ether/ether/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:51	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d8b43dd-822bdbf5c5c13273;gz%22	http://eth2xxxevent.digital/chart.googleapis.com/charta0ee.png?chs=130x130&chld=L|0&cht=qr&chl=bitcoin:bc1qlrl8jcy54ge5ctdy5halz8t88lvypvnx4ft8y9	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/chart.googleapis.com/charta0ee.2c7203.delayed	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:51	48944/48944	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:04%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/Users/LSG/Desktop/ether/ether/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:51	2781/2781	---M-Z	200	added ('OK')	image/svg+xml	etag:%22add-60cdf6a2-b370a8b8f38e4fa8;gz%22	http://eth2xxxevent.digital/files/loading.svg	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/loading.svg	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:52	159/159	---M--	200	added ('OK')	image/svg+xml	etag:%229f-60cdf6a2-f88ed95185027f83;;;%22	http://eth2xxxevent.digital/files/copy.svg	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/copy.svg	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:53	240/240	---M--	200	added ('OK')	image/svg+xml	etag:%22f0-60cdf6a2-897e87dae986b118;;;%22	http://eth2xxxevent.digital/files/done.svg	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/done.svg	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:54	5114/5114	---M--	200	added ('OK')	image/png	etag:%2213fa-60cdf6a2-bd7f32c81ce06e3d;;;%22	http://eth2xxxevent.digital/files/logo.png	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/logo.png	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:55	1004/1004	---M-Z	200	added ('OK')	image/svg+xml	etag:%223ec-60cdf6a2-ff4a0d3763766c36;gz%22	http://eth2xxxevent.digital/files/btc.svg	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/btc.svg	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:55	503/503	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f7-60cdf6a2-28aa79de88068ecc;gz%22	http://eth2xxxevent.digital/files/exchange-alt.svg	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/exchange-alt.svg	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:57	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-60cdf6a2-a593d837808735e7;;;%22	http://eth2xxxevent.digital/files/binance.ico	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/binance.ico	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:57	16779/16779	---M--	200	added ('OK')	image/png	etag:%22418b-60cdf6a2-87def29f861aa2ef;;;%22	http://eth2xxxevent.digital/files/upbit.png	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/upbit.png	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:59	3146/3146	---M--	200	added ('OK')	image/png	etag:%22c4a-60cdf6a2-5610c56fda562cec;;;%22	http://eth2xxxevent.digital/files/tano.png	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/tano.png	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:59	35687/35687	---M--	200	added ('OK')	image/png	etag:%228b67-60cdf6a2-691be01ef3992634;;;%22	http://eth2xxxevent.digital/files/okes.png	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/okes.png	(from http://eth2xxxevent.digital/BTC/index.html)
01:06:59	574/574	---M--	200	added ('OK')	image/png	etag:%2223e-60cdf6a2-2d4f2c1670992f54;;;%22	http://eth2xxxevent.digital/files/luno.png	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/luno.png	(from http://eth2xxxevent.digital/BTC/index.html)
01:07:00	4627/4627	---M--	200	added ('OK')	image/png	etag:%221213-60cdf6a2-26c6f4edc794785e;;;%22	http://eth2xxxevent.digital/files/tox.png	C:/Users/LSG/Desktop/ether/ether/eth2xxxevent.digital/files/tox.png	(from http://eth2xxxevent.digital/BTC/index.html)
